PMID,Publisher,DOI,PMCID
18431654,AAPS PharmSciTech,10.1208/s12249-008-9070-8,PMC2976953
32041660,Antimicrob Resist Infect Control,10.1186/s13756-020-0690-4,PMC7011525
18446472,AAPS PharmSciTech,10.1208/s12249-007-9022-8,PMC2976899
34962186,Drug Deliv,10.1080/10717544.2021.2015483,PMC8725930
26085051,AAPS PharmSciTech,10.1208/s12249-015-0354-5,PMC4984892
40076205,Molecules,10.3390/molecules30050978,PMC11901748
29500761,AAPS PharmSciTech,10.1208/s12249-018-0973-8,PMC6995277
20661674,AAPS PharmSciTech,10.1208/s12249-010-9478-9,PMC2974125
33972572,Sci Rep,10.1038/s41598-021-87968-4,PMC8110995
21800216,AAPS PharmSciTech,10.1208/s12249-011-9663-5,PMC3167254
28832617,PLoS Negl Trop Dis,10.1371/journal.pntd.0005855,PMC5584978
38411893,Drug Deliv Transl Res,10.1007/s13346-024-01541-w,PMC11445307
28803993,Cancer Lett,10.1016/j.canlet.2017.08.004,PMC5591776
34681662,Int J Mol Sci,10.3390/ijms222011003,PMC8538616
24333903,Int J Pharm,10.1016/j.ijpharm.2013.11.058,PMC3920451
31151246,Molecules,10.3390/molecules24112066,PMC6600169
34225762,J Nanobiotechnology,10.1186/s12951-021-00946-w,PMC8256566
31087188,Pharm Res,10.1007/s11095-019-2620-9,PMC6513835
26083534,ACS Nano,10.1021/acsnano.5b01696,PMC5047390
18431660,AAPS PharmSciTech,10.1208/s12249-008-9063-7,PMC2976931
31010144,Molecules,10.3390/molecules24081547,PMC6515195
28283000,Drug Deliv,10.1080/10717544.2017.1284946,PMC8241163
26268451,Sci Rep,10.1038/srep13065,PMC4535033
23244299,Mol Pharm,10.1021/mp300319m,PMC3540186
23862723,J Microencapsul,10.3109/02652048.2013.814728,PMC4295722
36299245,Drug Deliv,10.1080/10717544.2022.2136783,PMC9621282
28155336,Drug Deliv,10.1080/10717544.2016.1225854,PMC8241110
31242573,Molecules,10.3390/molecules24122333,PMC6630458
31779245,Molecules,10.3390/molecules24234321,PMC6930572
30223482,Nutrients,10.3390/nu10091304,PMC6164259
28841149,Int J Mol Sci,10.3390/ijms18091853,PMC5618502
32298275,PLoS One,10.1371/journal.pone.0230993,PMC7161953
28165811,Drug Deliv,10.1080/10717544.2016.1256002,PMC8241024
19280350,AAPS PharmSciTech,10.1208/s12249-009-9193-6,PMC2663683
28684775,Sci Rep,10.1038/s41598-017-05184-5,PMC5500499
19629708,AAPS PharmSciTech,10.1208/s12249-009-9284-4,PMC2802147
32316183,Molecules,10.3390/molecules25081824,PMC7222002
29587747,J Nanobiotechnology,10.1186/s12951-018-0356-z,PMC5870370
38992340,Drug Deliv,10.1080/10717544.2024.2372279,PMC11249160
23118537,Int J Nanomedicine,10.2147/IJN.S36071,PMC3484902
39683743,Molecules,10.3390/molecules29235583,PMC11643272
25369140,PLoS One,10.1371/journal.pone.0111559,PMC4219720
30785266,ACS Appl Mater Interfaces,10.1021/acsami.9b00581,PMC7005944
41291000,Sci Rep,10.1038/s41598-025-26860-x,PMC12657925
20652776,AAPS PharmSciTech,10.1208/s12249-010-9486-9,PMC2974149
33025335,AAPS PharmSciTech,10.1208/s12249-020-01814-w,PMC7538403
21879393,AAPS PharmSciTech,10.1208/s12249-011-9675-1,PMC3225524
31738085,Drug Deliv,10.1080/10717544.2019.1689312,PMC6882477
18446479,AAPS PharmSciTech,10.1208/s12249-007-9016-6,PMC2976898
31439714,Mol Cancer Ther,10.1158/1535-7163.MCT-18-1046,PMC6825580
20405254,AAPS PharmSciTech,10.1208/s12249-010-9432-x,PMC2902333
28941831,Int J Pharm,10.1016/j.ijpharm.2017.09.043,PMC5654553
32031478,Pharm Dev Technol,10.1080/10837450.2020.1725893,PMC8120996
32009480,Drug Deliv,10.1080/10717544.2020.1716881,PMC7034065
23284726,PLoS One,10.1371/journal.pone.0051618,PMC3532059
18622692,Pharm Res,10.1007/s11095-008-9594-3,PMC4269251
32605030,Biomolecules,10.3390/biom10070968,PMC7407235
21246564,J Pharm Sci,10.1002/jps.22488,PMC3102263
24889733,AAPS PharmSciTech,10.1208/s12249-014-0147-2,PMC4179664
30024877,PLoS One,10.1371/journal.pone.0198469,PMC6053139
25114933,Biomed Res Int,10.1155/2014/984756,PMC4121227
31840214,Braz J Microbiol,10.1007/s42770-019-00203-1,PMC7203281
25025233,PLoS One,10.1371/journal.pone.0102664,PMC4099367
20464537,AAPS PharmSciTech,10.1208/s12249-010-9440-x,PMC2902297
40531752,Braz J Med Biol Res,10.1590/1414-431X2025e14007,PMC12172157
33401775,Molecules,10.3390/molecules26010196,PMC7795868
12916940,AAPS PharmSciTech,10.1208/pt030325,PMC2784054
39546460,PLoS One,10.1371/journal.pone.0313059,PMC11567521
18181525,AAPS PharmSciTech,10.1208/pt0804104,PMC2750357
36235024,Molecules,10.3390/molecules27196487,PMC9571001
16594643,AAPS J,10.1208/aapsj070488,PMC2750960
41009821,Int J Mol Sci,10.3390/ijms26189259,PMC12470261
21225383,AAPS PharmSciTech,10.1208/s12249-011-9583-4,PMC3066381
33244110,Sci Rep,10.1038/s41598-020-77721-8,PMC7691366
26581771,Int J Pharm,10.1016/j.ijpharm.2015.11.018,PMC9477513
16408861,AAPS PharmSciTech,10.1208/pt060474,PMC2750607
23282540,Molecules,10.3390/molecules18010545,PMC6270558
18446481,AAPS PharmSciTech,10.1208/s12249-008-9037-9,PMC2976914
21547911,J Pharm Sci,10.1002/jps.22475,PMC3903006
36144488,Molecules,10.3390/molecules27185757,PMC9506095
18459055,AAPS PharmSciTech,10.1208/s12249-008-9082-4,PMC2976959
20490959,AAPS PharmSciTech,10.1208/s12249-010-9445-5,PMC2902349
30359451,PLoS One,10.1371/journal.pone.0206241,PMC6201938
24058284,ScientificWorldJournal,10.1155/2013/153695,PMC3766562
24297071,Pharm Res,10.1007/s11095-013-1252-8,PMC4012000
33212439,Skin Pharmacol Physiol,10.1159/000511443,PMC7949203
33105792,Molecules,10.3390/molecules25214887,PMC7660047
24551202,PLoS One,10.1371/journal.pone.0088979,PMC3925208
20446072,AAPS PharmSciTech,10.1208/s12249-010-9438-4,PMC2902305
21793213,Macromol Biosci,10.1002/mabi.201100107,PMC3496083
19919845,J Control Release,10.1016/j.jconrel.2009.11.008,PMC2833237
31932603,Sci Rep,10.1038/s41598-019-56853-6,PMC6957531
30343605,Drug Deliv,10.1080/10717544.2018.1516006,PMC6201799
33919354,Int J Mol Sci,10.3390/ijms22094338,PMC8122351
40920696,PLoS One,10.1371/journal.pone.0331651,PMC12416718
18473177,AAPS PharmSciTech,10.1208/s12249-008-9080-6,PMC2976939
21842308,AAPS PharmSciTech,10.1208/s12249-011-9672-4,PMC3225554
33805693,Molecules,10.3390/molecules26061589,PMC8001182
30679649,Sci Rep,10.1038/s41598-018-37048-x,PMC6346000
39770120,Molecules,10.3390/molecules29246032,PMC11679688
22114474,Int J Nanomedicine,10.2147/IJN.S23985,PMC3215151
31395915,Sci Rep,10.1038/s41598-019-47885-z,PMC6687744
27011162,Molecules,10.3390/molecules21030380,PMC6273378
25367002,AAPS PharmSciTech,10.1208/s12249-014-0238-0,PMC4370959
23202937,Int J Mol Sci,10.3390/ijms131013049,PMC3497311
26633319,Molecules,10.3390/molecules201219750,PMC6331851
23958780,Acta Biomater,10.1016/j.actbio.2013.08.011,PMC3907088
25652729,AAPS PharmSciTech,10.1208/s12249-014-0280-y,PMC4674636
19148763,AAPS PharmSciTech,10.1208/s12249-008-9172-3,PMC2663664
32668791,Molecules,10.3390/molecules25143198,PMC7397150
34884914,Int J Mol Sci,10.3390/ijms222313110,PMC8658635
22016637,Int J Mol Sci,10.3390/ijms12095946,PMC3189761
18496755,AAPS PharmSciTech,10.1208/s12249-008-9089-x,PMC2976948
16796363,AAPS PharmSciTech,10.1208/pt070246,PMC2750326
12916956,AAPS PharmSciTech,10.1208/pt030103,PMC2750250
28828703,Drug Deliv Transl Res,10.1007/s13346-017-0422-3,PMC6280808
23185563,PLoS One,10.1371/journal.pone.0050156,PMC3501477
19936939,AAPS PharmSciTech,10.1208/s12249-009-9331-1,PMC2799597
18548338,Pharm Res,10.1007/s11095-008-9626-z,PMC2810499
17433584,Int J Pharm,10.1016/j.ijpharm.2007.03.007,PMC2211564
19729045,J Control Release,10.1016/j.jconrel.2009.08.023,PMC2789915
29374458,J Biomed Sci,10.1186/s12929-018-0413-9,PMC5787234
30380666,Molecules,10.3390/molecules23112808,PMC6278365
25734967,Colloids Surf B Biointerfaces,10.1016/j.colsurfb.2015.01.055,PMC4406452
29631468,Drug Deliv,10.1080/10717544.2018.1458923,PMC6058700
19479386,AAPS PharmSciTech,10.1208/s12249-009-9257-7,PMC2802145
14727854,AAPS PharmSciTech,10.1208/pt010105,PMC2784832
20414757,AAPS PharmSciTech,10.1208/s12249-010-9426-8,PMC2902347
19148761,AAPS PharmSciTech,10.1208/s12249-008-9178-x,PMC2663668
24019468,Proc Natl Acad Sci U S A,10.1073/pnas.1310214110,PMC3785740
14727897,AAPS PharmSciTech,10.1208/pt010432,PMC2750456
20846135,Bosn J Basic Med Sci,10.17305/bjbms.2010.2697,PMC5504505
23166436,Int J Nanomedicine,10.2147/IJN.S37277,PMC3500031
18446474,AAPS PharmSciTech,10.1208/s12249-007-9023-7,PMC2976909
31548590,Sci Rep,10.1038/s41598-019-50134-y,PMC6757054
41097330,Molecules,10.3390/molecules30193907,PMC12525720
31340486,Molecules,10.3390/molecules24142663,PMC6680913
28850287,Nutr Clin Pract,10.1177/0884533617722759,PMC6739827
20931307,AAPS PharmSciTech,10.1208/s12249-010-9528-3,PMC3011076
30823458,Mar Drugs,10.3390/md17030143,PMC6471227
28460444,Oncotarget,10.18632/oncotarget.15679,PMC5432327
23919086,Int J Nanomedicine,10.2147/IJN.S43474,PMC3699131
40509259,Molecules,10.3390/molecules30112373,PMC12155894
28061455,Oncotarget,10.18632/oncotarget.14481,PMC5355322
20496017,AAPS PharmSciTech,10.1208/s12249-010-9455-3,PMC2902331
14621964,AAPS PharmSciTech,10.1208/pt040332,PMC2750625
23882140,Int J Nanomedicine,10.2147/IJN.S45186,PMC3709647
19710954,Mol Vis,No DOI,PMC2731833
22607686,J Nanobiotechnology,10.1186/1477-3155-10-20,PMC3485170
20845090,AAPS PharmSciTech,10.1208/s12249-010-9507-8,PMC2974129
33924209,Molecules,10.3390/molecules26082390,PMC8074605
23658485,Int J Nanomedicine,10.2147/IJN.S41775,PMC3607420
16517688,Appl Environ Microbiol,10.1128/AEM.72.3.2280-2282.2006,PMC1393187
18431669,AAPS PharmSciTech,10.1208/s12249-008-9053-9,PMC2976954
34065944,Molecules,10.3390/molecules26102856,PMC8150732
29768224,IET Nanobiotechnol,10.1049/iet-nbt.2017.0189,PMC8676365
32575390,Int J Mol Sci,10.3390/ijms21124357,PMC7352744
21614634,Pharm Res,10.1007/s11095-011-0474-x,PMC4353616
28212296,Molecules,10.3390/molecules22020293,PMC6155675
16874455,Cell Mol Biol Lett,10.2478/s11658-006-0037-z,PMC6472839
22923993,Int J Nanomedicine,10.2147/IJN.S33993,PMC3423650
33918775,Molecules,10.3390/molecules26082170,PMC8069165
14727903,AAPS PharmSciTech,10.1208/pt010317,PMC2750345
26967650,J Vis Exp,10.3791/53489,PMC4828174
30445668,Mar Drugs,10.3390/md16110447,PMC6266200
19184450,AAPS PharmSciTech,10.1208/s12249-008-9183-0,PMC2663673
32932691,Molecules,10.3390/molecules25184188,PMC7570780
25716330,AAPS PharmSciTech,10.1208/s12249-015-0308-y,PMC4674652
40869352,Int J Mol Sci,10.3390/ijms26168032,PMC12386581
20856831,Int J Nanomedicine,10.2147/ijn.s12485,PMC2939701
22919267,Mol Vis,No DOI,PMC3425577
18181537,AAPS PharmSciTech,10.1208/pt0804116,PMC2750702
23600657,Drug Dev Ind Pharm,10.3109/03639045.2012.763137,PMC3758445
41373162,J Food Sci,10.1111/1750-3841.70761,PMC12696348
21968952,Cancer Chemother Pharmacol,10.1007/s00280-011-1749-y,PMC3368221
17611054,Int J Pharm,10.1016/j.ijpharm.2007.05.023,PMC6186392
33799652,Int J Mol Sci,10.3390/ijms22062852,PMC8001634
23641156,Int J Nanomedicine,10.2147/IJN.S43299,PMC3639716
40709743,J Cosmet Dermatol,10.1111/jocd.70302,PMC12291436
36771156,Molecules,10.3390/molecules28031492,PMC9920530
16796361,AAPS PharmSciTech,10.1208/pt070244,PMC2750295
25580455,ScientificWorldJournal,10.1155/2014/274823,PMC4280499
31735104,Drug Deliv,10.1080/10717544.2019.1682720,PMC6882498
22275831,Int J Nanomedicine,10.2147/IJN.S27639,PMC3263408
21753875,Int J Nanomedicine,10.2147/IJN.S20903,PMC3131190
35335159,Molecules,10.3390/molecules27061796,PMC8954538
30361239,J Pharmacol Exp Ther,10.1124/jpet.118.252809,PMC6806631
17622106,AAPS PharmSciTech,10.1208/pt0802028,PMC2750368
39789127,Sci Rep,10.1038/s41598-024-83922-2,PMC11717941
26287134,Molecules,10.3390/molecules200814684,PMC6331904
17025257,AAPS PharmSciTech,10.1208/pt070377,PMC2750519
22072866,Int J Nanomedicine,10.2147/IJN.S18039,PMC3205125
38123567,Sci Data,10.1038/s41597-023-02812-w,PMC10733404
25861680,ScientificWorldJournal,10.1155/2015/541510,PMC4377495
25248304,J Nanobiotechnology,10.1186/s12951-014-0039-3,PMC4180958
25219750,J Control Release,10.1016/j.jconrel.2014.08.029,PMC4268178
35047632,Biomed Res Int,10.1155/2022/3549061,PMC8763502
24363199,AAPS J,10.1208/s12248-013-9557-4,PMC3933582
28530194,IET Nanobiotechnol,10.1049/iet-nbt.2016.0116,PMC8676679
31415878,Int J Pharm,10.1016/j.ijpharm.2019.118609,PMC6824728
19609836,AAPS PharmSciTech,10.1208/s12249-009-9286-2,PMC2802156
15760111,AAPS J,10.1208/aapsj060326,PMC2751251
29192555,J Enzyme Inhib Med Chem,10.1080/14756366.2017.1405264,PMC7011998
29191058,Drug Deliv,10.1080/10717544.2017.1410257,PMC8240975
23723698,Int J Nanomedicine,10.2147/IJN.S43892,PMC3666662
25501870,AAPS PharmSciTech,10.1208/s12249-014-0247-z,PMC4444641
41092225,Chem Biodivers,10.1002/cbdv.202502124,PMC12715995
24886215,J Nanobiotechnology,10.1186/1477-3155-12-22,PMC4032567
19500429,Malar J,10.1186/1475-2875-8-124,PMC2702347
32650503,Molecules,10.3390/molecules25143119,PMC7397308
30534567,Biomed Res Int,10.1155/2018/9035452,PMC6252225
30845675,Nutrients,10.3390/nu11030559,PMC6470911
31413320,Sci Rep,10.1038/s41598-019-48144-x,PMC6694173
19504745,AAPS PharmSciTech,10.1208/s12249-009-9242-1,PMC2690805
37569488,Int J Mol Sci,10.3390/ijms241512113,PMC10419275
37446870,Molecules,10.3390/molecules28135208,PMC10343907
26610464,Molecules,10.3390/molecules201219745,PMC6332319
23690685,Int J Nanomedicine,10.2147/IJN.S42002,PMC3656903
39343782,Sci Rep,10.1038/s41598-024-71980-5,PMC11439918
24961388,J Pharm Sci,10.1002/jps.24053,PMC4498395
18170981,AAPS J,10.1208/aapsj0903041,PMC2751486
28687053,Drug Deliv,10.1080/10717544.2017.1344333,PMC8241183
38941109,Ther Deliv,10.1080/20415990.2024.2363635,PMC11412145
34565260,Drug Deliv,10.1080/10717544.2021.1979131,PMC8475106
26195071,AAPS PharmSciTech,10.1208/s12249-015-0366-1,PMC4984874
40702891,J Agric Food Chem,10.1021/acs.jafc.5c04690,PMC12333368
14727880,AAPS PharmSciTech,10.1208/pt020205,PMC2750471
28691021,Biomed Res Int,10.1155/2017/2723418,PMC5485270
36846914,Drug Deliv,10.1080/10717544.2023.2184311,PMC9980406
40572615,Molecules,10.3390/molecules30122652,PMC12196394
36891311,Front Immunol,10.3389/fimmu.2023.1116238,PMC9986537
34612775,Drug Deliv,10.1080/10717544.2021.1986601,PMC8510591
22965661,AAPS PharmSciTech,10.1208/s12249-012-9847-7,PMC3513480
22114484,Int J Nanomedicine,10.2147/IJN.S22335,PMC3215161
39519804,Molecules,10.3390/molecules29215163,PMC11547575
36786136,Curr Drug Deliv,10.2174/1567201820666230214091509,PMC11092562
35174738,Drug Deliv,10.1080/10717544.2022.2039805,PMC8856056
34964414,Drug Deliv,10.1080/10717544.2021.2021323,PMC8725867
31714057,ACS Nano,10.1021/acsnano.9b07214,PMC7785203
26238806,AAPS PharmSciTech,10.1208/s12249-015-0370-5,PMC4984901
26207823,PLoS One,10.1371/journal.pone.0133826,PMC4514888
19936938,AAPS PharmSciTech,10.1208/s12249-009-9340-0,PMC2799606
30095427,IET Nanobiotechnol,10.1049/iet-nbt.2017.0104,PMC8675998
23984361,Biomed Res Int,10.1155/2013/410686,PMC3747473
34590195,AAPS PharmSciTech,10.1208/s12249-021-02108-5,PMC9178661
23326192,Int J Nanomedicine,10.2147/IJN.S37338,PMC3544354
32276393,Molecules,10.3390/molecules25071703,PMC7181043
22760454,AAPS PharmSciTech,10.1208/s12249-012-9821-4,PMC3429665
24646020,Nanomedicine (Lond),10.2217/nnm.14.4,PMC4338921
19360857,J Pharm Sci,10.1002/jps.21719,PMC2751612
19641997,AAPS PharmSciTech,10.1208/s12249-009-9287-1,PMC2802165
33517791,Drug Deliv,10.1080/10717544.2021.1879314,PMC8725874
28373669,Sci Rep,10.1038/s41598-017-00696-6,PMC5428804
25700978,AAPS PharmSciTech,10.1208/s12249-015-0305-1,PMC4674653
34275091,Drug Deliv Transl Res,10.1007/s13346-021-01025-1,PMC9061677
23763957,Malar J,10.1186/1475-2875-12-202,PMC3687677
22187363,AAPS PharmSciTech,10.1208/s12249-011-9742-7,PMC3299475
34060397,Drug Deliv,10.1080/10717544.2021.1931561,PMC8175053
18720016,AAPS PharmSciTech,10.1208/s12249-008-9131-z,PMC2977031
35358270,PLoS One,10.1371/journal.pone.0266296,PMC8970395
20509056,AAPS PharmSciTech,10.1208/s12249-010-9453-5,PMC2902351
32512808,Molecules,10.3390/molecules25112616,PMC7321202
31362362,Molecules,10.3390/molecules24152744,PMC6696033
36403103,Iran Biomed J,10.52547/ibj.3722,PMC9763875
29983563,Int J Nanomedicine,10.2147/IJN.S159839,PMC6028350
20824513,AAPS PharmSciTech,10.1208/s12249-010-9510-0,PMC2974117
21720510,Int J Nanomedicine,10.2147/IJN.S18821,PMC3124402
23912666,J Biomed Opt,10.1117/1.JBO.18.10.101312,PMC3731573
21952107,J Nanobiotechnology,10.1186/1477-3155-9-44,PMC3198904
39838580,J Cosmet Dermatol,10.1111/jocd.16786,PMC11751381
26642946,Int J Pharm,10.1016/j.ijpharm.2015.11.045,PMC4718800
23334925,J Pharm Sci,10.1002/jps.23450,PMC3967790
30706304,Drug Deliv Transl Res,10.1007/s13346-019-00619-0,PMC6827432
39879378,Mol Pharm,10.1021/acs.molpharmaceut.4c01374,PMC11881135
25050379,Biomed Res Int,10.1155/2014/932017,PMC4090578
36803136,Drug Deliv,10.1080/10717544.2023.2179128,PMC10184586
27741519,Oncotarget,10.18632/oncotarget.12609,PMC5356665
19381824,AAPS PharmSciTech,10.1208/s12249-009-9234-1,PMC2690797
34443336,Molecules,10.3390/molecules26164750,PMC8401722
34103581,Sci Rep,10.1038/s41598-021-91442-6,PMC8187374
30289881,PLoS One,10.1371/journal.pone.0204531,PMC6173387
30724654,Pharm Dev Technol,10.1080/10837450.2019.1578372,PMC10182475
33446749,Sci Rep,10.1038/s41598-020-79940-5,PMC7809212
33355019,Drug Deliv,10.1080/10717544.2020.1862365,PMC7758053
24792826,Pharm Res,10.1007/s11095-014-1370-y,PMC4198448
36588399,Drug Deliv,10.1080/10717544.2022.2164094,PMC9809409
21556344,Int J Nanomedicine,10.2147/IJN.S17524,PMC3084316
23292326,Molecules,10.3390/molecules18010574,PMC6270548
30517187,PLoS One,10.1371/journal.pone.0208339,PMC6281252
39563603,J Cosmet Dermatol,10.1111/jocd.16685,PMC11845931
22888246,Int J Nanomedicine,10.2147/IJN.S33398,PMC3415323
29043863,Drug Deliv,10.1080/10717544.2017.1388453,PMC8241196
22403491,Int J Nanomedicine,10.2147/IJN.S28761,PMC3292421
25511810,AAPS PharmSciTech,10.1208/s12249-014-0258-9,PMC4444626
30002386,Sci Rep,10.1038/s41598-018-28626-0,PMC6043531
33006045,AAPS PharmSciTech,10.1208/s12249-020-01798-7,PMC7529632
30302631,Pharm Res,10.1007/s11095-018-2495-1,PMC6636348
30363745,Biomed Res Int,10.1155/2018/6763057,PMC6180989
25310219,PLoS One,10.1371/journal.pone.0109580,PMC4195661
39809826,Sci Rep,10.1038/s41598-025-85604-z,PMC11733019
39400156,Microbiol Spectr,10.1128/spectrum.01378-24,PMC11537001
33558284,Antimicrob Agents Chemother,10.1128/AAC.02106-20,PMC8097435
22072884,Int J Nanomedicine,10.2147/IJN.S22337,PMC3205143
31833006,Braz J Microbiol,10.1007/s42770-019-00201-3,PMC7058720
36235189,Molecules,10.3390/molecules27196652,PMC9572020
23439784,Int J Nanomedicine,10.2147/IJN.S29392,PMC3576886
34202733,Molecules,10.3390/molecules26133863,PMC8270244
19524029,Int J Pharm,10.1016/j.ijpharm.2009.06.004,PMC2736872
25591953,AAPS PharmSciTech,10.1208/s12249-014-0278-5,PMC4508291
33022944,Molecules,10.3390/molecules25194534,PMC7582684
26330329,Cancer Chemother Pharmacol,10.1007/s00280-015-2851-3,PMC4878412
31351498,Lipids Health Dis,10.1186/s12944-019-1096-2,PMC6661088
30822166,Drug Deliv,10.1080/10717544.2019.1568622,PMC6407577
24577314,Int J Mol Sci,10.3390/ijms15033519,PMC3975351
41329442,Exp Appl Acarol,10.1007/s10493-025-01085-9,PMC12672669
36708105,Drug Deliv,10.1080/10717544.2023.2173337,PMC9888461
32253523,Pharm Res,10.1007/s11095-020-02802-2,PMC7136179
27716314,J Nanobiotechnology,10.1186/s12951-016-0223-8,PMC5048629
19876741,AAPS PharmSciTech,10.1208/s12249-009-9328-9,PMC2799594
23054984,AAPS PharmSciTech,10.1208/s12249-012-9855-7,PMC3513468
22267925,Int J Nanomedicine,10.2147/IJN.S25824,PMC3260034
36050870,Drug Deliv,10.1080/10717544.2022.2118399,PMC9448375
33466804,Molecules,10.3390/molecules26020408,PMC7830605
21735345,AAPS PharmSciTech,10.1208/s12249-011-9659-1,PMC3167265
21181511,AAPS PharmSciTech,10.1208/s12249-010-9568-8,PMC3066365
25068531,PLoS One,10.1371/journal.pone.0102850,PMC4113283
19882250,AAPS PharmSciTech,10.1208/s12249-009-9315-1,PMC2799581
