"10.1002/jps.22475", "Redirecting",
"10.1021/mp4005029", "Formulation and Characterization of Nanoemulsion Intranasal Adjuvants: Effects of Surfactant Composition on Mucoadhesion and Immunogenicity",
"10.1049/iet-nbt.2017.0104", "Formulation of garlic oil‐in‐water nanoemulsion: antimicrobial and physicochemical aspects",
"10.1002/jps.22488", "Histamine Release Associated with Intravenous Delivery of a Fluorocarbon-Based Sevoflurane Emulsion in Canines",
"10.1136/ejhpharm-2020-002534", "Formulation, long-term physicochemical and microbiological stability of 15% topical resorcinol for hidradenitis suppurativa",
"10.3109/03639045.2012.763137", "Development and<i>in vitro</i>evaluation of a nanoemulsion for transcutaneous delivery",
"10.1002/adma.201804693", "Biomimetic Nanoemulsions for Oxygen Delivery In Vivo",
"10.3109/10717544.2014.923068", "Formulation development of a novel targeted theranostic nanoemulsion of docetaxel to overcome multidrug resistance in ovarian cancer",
"10.1021/acs.molpharmaceut.8b00802", "In Vivo and Cellular Trafficking of Acetalated Dextran Microparticles for Delivery of a Host-Directed Therapy for <i>Salmonella enterica</i> Serovar Typhi Infection",
"10.1124/jpet.118.254672", "CNS Delivery and Anti-Inflammatory Effects of Intranasally Administered Cyclosporine-A in Cationic Nanoformulations",
"10.1159/000522380", "Comparative Bioavailability Study of Solid Self-Nanoemulsifying Drug Delivery System of Fenofibric Acid in Healthy Male Subjects",
"10.1124/jpet.118.252809", "Single Dose of a Polyanhydride Particle-Based Vaccine Generates Potent Antigen-Specific Antitumor Immune Responses",
"10.2147/DDDT.S103169", "A novel tetrandrine-loaded chitosan microsphere: characterization and in vivo evaluation",
"10.1177/0148607116640275", "A Comparison of Fish Oil Sources for Parenteral Lipid Emulsions in a Murine Model",
"10.4103/ijp.ijp_370_23", "Wound-healing effect of topical nanoemulsion-loaded cream and gel formulations of Hippophae rhamnoides L. (sea buckthorn) fruit oil and their acute dermal toxicity study on female SD rats",
"10.1080/10837450.2019.1578372", "Multiple linear regression applied to predicting droplet size of complex perfluorocarbon nanoemulsions for biomedical applications",
"10.1159/000511443", "Investigation of ex vivo Skin Penetration of Coenzyme Q10 from Microemulsions and Hydrophilic Cream",
"10.1208/s12249-015-0308-y", "Exploring Microstructural Changes in Structural Analogues of Ibuprofen-Hosted In Situ Gelling System and Its Influence on Pharmaceutical Performance",
"10.1080/20415990.2024.2363136", "Quality-by-design-based microemulsion of disulfiram for repurposing in melanoma and breast cancer therapy",
"10.3109/1061186X.2015.1087529", "Localized delivery of a lipophilic proteasome inhibitor into human skin for treatment of psoriasis",
"10.1208/s12249-018-1287-6", "Development of Theranostic Perfluorocarbon Nanoemulsions as a Model Non-Opioid Pain Nanomedicine Using a Quality by Design (QbD) Approach",
"10.1049/iet-nbt.2016.0116", "Solvent effect in the synthesis of hydrophobic drug‐loaded polymer nanoparticles",
"10.1021/acsnano.9b07214", "Once Daily Pregabalin Eye Drops for Management of Glaucoma",
"10.3109/02652048.2013.814728", "Microparticles prepared from sulfenamide-based polymers",
"10.1021/mp3004379", "Aerosolized Antimicrobial Agents Based on Degradable Dextran Nanoparticles Loaded with Silver Carbene Complexes",
"10.1049/iet-nbt.2017.0189", "Encapsulation of the reductase component of                     <i>p</i>                     ‐hydroxyphenylacetate hydroxylase in poly(lactide‐                     <i>co</i>                     ‐glycolide) nanoparticles by three different emulsification techniques",
"10.1049/iet-nbt.2019.0148", "Co‐encapsulating CoFe                     <sub>2</sub>                     O                     <sub>4</sub>                     and MTX for hyperthermia",
"10.1021/acsnano.2c00199", "Direct Observation of Emulsion Morphology, Dynamics, and Demulsification",
"10.3791/53489", "Facile Preparation of Internally Self-assembled Lipid Particles Stabilized by Carbon Nanotubes",
"10.3791/51874", "Quantitative and Qualitative Examination of Particle-particle Interactions Using Colloidal Probe Nanoscopy",
"10.1080/20415990.2024.2363635", "Development of fexofenadine self-microemulsifying delivery systems: an efficient way to improve intestinal permeability"
