PMID, Publisher, DOI
34590195, AAPS PharmSciTech, 10.1208/s12249-021-02108-5
22760454, AAPS PharmSciTech, 10.1208/s12249-012-9821-4
21720510, Int J Nanomedicine, 10.2147/IJN.S18821
23334925, J Pharm Sci, 10.1002/jps.23450
25700978, AAPS PharmSciTech, 10.1208/s12249-015-0305-1
25050379, Biomed Res Int, 10.1155/2014/932017
39879378, Mol Pharm, 10.1021/acs.molpharmaceut.4c01374
36803136, Drug Deliv, 10.1080/10717544.2023.2179128
30724654, Pharm Dev Technol, 10.1080/10837450.2019.1578372
21556344, Int J Nanomedicine, 10.2147/IJN.S17524
36588399, Drug Deliv, 10.1080/10717544.2022.2164094
22403491, Int J Nanomedicine, 10.2147/IJN.S28761
22888246, Int J Nanomedicine, 10.2147/IJN.S33398
30363745, Biomed Res Int, 10.1155/2018/6763057
33558284, Antimicrob Agents Chemother, 10.1128/AAC.02106-20
30706304, Drug Deliv Transl Res, 10.1007/s13346-019-00619-0
39400156, Microbiol Spectr, 10.1128/spectrum.01378-24
22072884, Int J Nanomedicine, 10.2147/IJN.S22337
23439784, Int J Nanomedicine, 10.2147/IJN.S29392
24792826, Pharm Res, 10.1007/s11095-014-1370-y
25511810, AAPS PharmSciTech, 10.1208/s12249-014-0258-9
30302631, Pharm Res, 10.1007/s11095-018-2495-1
36708105, Drug Deliv, 10.1080/10717544.2023.2173337
31833006, Braz J Microbiol, 10.1007/s42770-019-00201-3
22267925, Int J Nanomedicine, 10.2147/IJN.S25824
36050870, Drug Deliv, 10.1080/10717544.2022.2118399
25591953, AAPS PharmSciTech, 10.1208/s12249-014-0278-5
26330329, Cancer Chemother Pharmacol, 10.1007/s00280-015-2851-3
28831842, Drug Deliv, 10.1080/10717544.2017.1365392
39143900, Nanomedicine (Lond), 10.1080/17435889.2024.2386923
30294884, Adv Mater, 10.1002/adma.201804693
38949622, Ther Deliv, 10.1080/20415990.2024.2363136
30627887, AAPS PharmSciTech, 10.1208/s12249-018-1287-6
21181511, AAPS PharmSciTech, 10.1208/s12249-010-9568-8
38687316, Indian J Pharmacol, 10.4103/ijp.ijp_370_23
31111044, Biomed Res Int, 10.1155/2019/2382563
24410445, Biomacromolecules, 10.1021/bm4015232
21904451, Int J Nanomedicine, 10.2147/IJN.S23597
23935362, Int J Nanomedicine, 10.2147/IJN.S48214
33370213, J Ocul Pharmacol Ther, 10.1089/jop.2020.0085
24668136, AAPS PharmSciTech, 10.1208/s12249-014-0103-1
29600438, Pharm Res, 10.1007/s11095-018-2391-8
24901206, Drug Deliv, 10.3109/10717544.2014.923068
4037770, Antimicrob Agents Chemother, 10.1128/AAC.28.1.103
36036168, Drug Deliv, 10.1080/10717544.2022.2115165
29581972, Biomed Res Int, 10.1155/2018/4057959
34145458, J Burn Care Res, 10.1093/jbcr/irab118
23049254, Int J Nanomedicine, 10.2147/IJN.S34612
23269869, Int J Nanomedicine, 10.2147/IJN.S38927
39454183, Mol Pharm, 10.1021/acs.molpharmaceut.4c00686
40145792, Adv Sci (Weinh), 10.1002/advs.202414559
19778268, J Aerosol Med Pulm Drug Deliv, 10.1089/jamp.2009.0766
22350738, AAPS PharmSciTech, 10.1208/s12249-012-9762-y
26993989, JPEN J Parenter Enteral Nutr, 10.1177/0148607116640275
34694732, IET Nanobiotechnol, 10.1049/nbt2.12010
23137392, Pharm Dev Technol, 10.3109/10837450.2012.737806
24550699, ScientificWorldJournal, 10.1155/2014/268107
29181835, Drug Deliv Transl Res, 10.1007/s13346-017-0435-y
22130789, AAPS PharmSciTech, 10.1208/s12249-011-9721-z
24504495, AAPS PharmSciTech, 10.1208/s12249-014-0072-4
22150673, J Pharm Pharmacol, 10.1111/j.2042-7158.2011.01376.x
14727869, AAPS PharmSciTech, 10.1208/pt020310
35764754, Pharm Res, 10.1007/s11095-022-03317-8
20632449, World J Gastroenterol, 10.3748/wjg.v16.i27.3437
36369759, Drug Deliv, 10.1080/10717544.2022.2144545
20939702, J Microencapsul, 10.3109/02652048.2010.520093
22114486, Int J Nanomedicine, 10.2147/IJN.S24547
19337417, Int J Nanomedicine, 10.2147/ijn.s3938
25080136, J Vis Exp, 10.3791/51874
23025592, Mol Pharm, 10.1021/mp3004379
35507250, Appl Biochem Biotechnol, 10.1007/s12010-022-03812-z
18956141, Pharm Res, 10.1007/s11095-008-9744-7
35039793, Biomed Res Int, 10.1155/2022/1558860
27960411, ACS Appl Mater Interfaces, 10.1021/acsami.6b08153
24224161, Biomed Res Int, 10.1155/2013/387863
38802678, Drug Deliv Transl Res, 10.1007/s13346-024-01620-y
21980233, Int J Nanomedicine, 10.2147/IJN.S20165
29119735, J Zhejiang Univ Sci B, 10.1631/jzus.B1600389
32378175, Drug Deliv Transl Res, 10.1007/s13346-020-00758-9
31534201, Acta Pharmacol Sin, 10.1038/s41401-019-0288-7
